100, 214
101, 212
102, 218
103, 228
104, 229
105, 233
106, 232
107, 232
108, 238
109, 240
110, 252
111, 252
112, 246
113, 251
114, 245
115, 258
116, 261
117, 258
118, 267
119, 260
120, 263
121, 263
122, 263
123, 271
124, 277
125, 279
126, 275
127, 278
128, 289
129, 283
130, 291
131, 294
132, 295
133, 290
134, 287
135, 299
136, 297
137, 305
138, 313
139, 302
140, 315
141, 320
142, 313
143, 305
144, 314
145, 322
146, 329
147, 330
148, 339
149, 335
150, 326
151, 334
152, 342
153, 346
154, 356
155, 354
156, 354
157, 364
158, 357
159, 369
160, 344
161, 365
162, 366
163, 365
164, 371
165, 373
166, 373
167, 378
168, 381
169, 381
170, 384
171, 383
172, 387
173, 383
174, 383
175, 382
176, 391
177, 412
178, 407
179, 410
180, 406
181, 409
182, 409
183, 424
184, 399
185, 406
186, 411
187, 417
188, 408
189, 411
190, 416
191, 414
192, 412
193, 417
194, 415
195, 427
196, 425
197, 423
198, 423
199, 430
200, 436
