0, 0
1, 2
2, 7
3, 7
4, 15
5, 17
6, 16
7, 15
8, 33
9, 32
10, 32
11, 34
12, 34
13, 31
14, 32
15, 33
16, 68
17, 67
18, 70
19, 67
20, 70
21, 70
22, 68
23, 68
24, 71
25, 66
26, 66
27, 74
28, 67
29, 65
30, 72
31, 66
32, 136
33, 141
34, 139
35, 141
36, 136
37, 144
38, 137
39, 139
40, 135
41, 138
42, 141
43, 135
44, 140
45, 141
46, 138
47, 137
48, 135
49, 136
50, 142
51, 140
52, 140
53, 141
54, 142
55, 142
56, 141
57, 139
58, 139
59, 143
60, 144
